Date,Open,High,Low,Close,Volume,OpenInt,Stock
2010-06-28,17.0,17.0,17.0,17.0,0,0,TSLA
2010-06-29,19.0,25.0,17.54,23.89,18783276,0,TSLA
2010-06-30,25.79,30.42,23.3,23.83,17194394,0,TSLA
2010-07-01,25.0,25.92,20.27,21.96,8229863,0,TSLA
2010-07-02,23.0,23.1,18.71,19.2,5141807,0,TSLA
2010-07-06,20.0,20.0,15.83,16.11,6879296,0,TSLA
2010-07-07,16.4,16.63,14.98,15.8,6924914,0,TSLA
2010-07-08,16.14,17.52,15.57,17.46,7719539,0,TSLA
2010-07-09,17.58,17.9,16.55,17.4,4058606,0,TSLA
2010-07-12,17.95,18.07,17.0,17.05,2203570,0,TSLA
2010-07-13,17.39,18.64,16.9,18.14,2680060,0,TSLA
2010-07-14,17.94,20.15,17.76,19.84,4196110,0,TSLA
2010-07-15,19.94,21.5,19.0,19.89,3745297,0,TSLA
2010-07-16,20.7,21.3,20.05,20.64,2621210,0,TSLA
2010-07-19,21.37,22.25,20.92,21.91,2486489,0,TSLA
2010-07-20,21.85,21.85,20.05,20.3,1825231,0,TSLA
2010-07-21,20.66,20.9,19.5,20.22,1253442,0,TSLA
2010-07-22,20.5,21.25,20.37,21.0,962345,0,TSLA
2010-07-23,21.19,21.56,21.06,21.29,654049,0,TSLA
2010-07-26,21.5,21.5,20.3,20.95,922453,0,TSLA
2010-07-27,20.91,21.18,20.26,20.55,619675,0,TSLA
2010-07-28,20.55,20.9,20.51,20.72,467183,0,TSLA
2010-07-29,20.77,20.88,20.0,20.35,615910,0,TSLA
2010-07-30,20.2,20.44,19.55,19.94,426830,0,TSLA
2010-08-02,20.5,20.97,20.33,20.92,719145,0,TSLA
2010-08-03,21.0,21.95,20.82,21.95,1231023,0,TSLA
2010-08-04,21.95,22.18,20.85,21.26,920756,0,TSLA
2010-08-05,21.54,21.55,20.05,20.45,796380,0,TSLA
2010-08-06,20.1,20.16,19.52,19.59,742138,0,TSLA
2010-08-09,19.9,19.98,19.45,19.6,812656,0,TSLA
2010-08-10,19.65,19.65,18.82,19.03,1281286,0,TSLA
2010-08-11,18.69,18.88,17.85,17.9,797650,0,TSLA
2010-08-12,17.8,17.9,17.39,17.6,691281,0,TSLA
2010-08-13,18.18,18.45,17.66,18.32,634513,0,TSLA
2010-08-16,18.45,18.8,18.26,18.78,486211,0,TSLA
2010-08-17,18.96,19.4,18.78,19.15,447881,0,TSLA
2010-08-18,19.59,19.59,18.6,18.77,601332,0,TSLA
2010-08-19,18.54,19.25,18.33,18.79,579082,0,TSLA
2010-08-20,18.65,19.11,18.51,19.1,297499,0,TSLA
2010-08-23,19.09,20.39,19.0,20.13,1088029,0,TSLA
2010-08-24,19.25,19.71,18.95,19.2,673074,0,TSLA
2010-08-25,19.16,19.98,18.56,19.9,503289,0,TSLA
2010-08-26,19.89,20.27,19.6,19.75,433736,0,TSLA
2010-08-27,19.75,19.87,19.5,19.7,378145,0,TSLA
2010-08-30,19.7,20.19,19.61,19.87,732731,0,TSLA
2010-08-31,19.66,19.79,19.33,19.48,201012,0,TSLA
2010-09-01,19.62,20.69,19.6,20.45,494885,0,TSLA
2010-09-02,20.37,21.24,20.31,21.06,487060,0,TSLA
2010-09-03,20.87,21.3,20.66,21.05,425956,0,TSLA
2010-09-07,20.61,21.0,20.5,20.54,243335,0,TSLA
2010-09-08,20.66,20.95,20.6,20.9,288382,0,TSLA
2010-09-09,21.0,21.05,20.69,20.71,376197,0,TSLA
2010-09-10,20.75,20.93,19.76,20.17,385689,0,TSLA
